trial_number,value,adx_threshold,irg_threshold,min_momentum_pct,momentum_days,volume_factor,sl_mult,tp_mult,allow_partial_signals,require_macd,require_ma50,require_rsi_gt,trades,sharpe_mean,total_return_mean,max_drawdown_mean,mc_score
0,-5.5124442902142246,17,1.5500000000000003,0.023,7,0.9,1.3,1.7,0,0,0,18,994,-0.8059609704157611,0.00577238713174707,0.1342630598257396,-4.163913072730645
1,10.691430223224826,13,0.35,0.01,7,1.1500000000000001,1.6,4.300000000000001,1,1,0,31,8927,0.22526535457356403,0.24305999367351697,0.3088180764767294,8.527042611906294
2,-6.624073117680088,22,0.15000000000000002,0.019000000000000003,4,0.8500000000000001,2.9000000000000004,5.9,0,1,0,30,577,-2.1069477494843043,0.011810433274482127,0.1013135723903728,-4.2354616059893715
3,-1.3128261591263068,10,1.5000000000000002,0.009000000000000001,8,1.05,2.0,4.0,1,1,0,47,6253,0.12226962227886608,0.14584521902166087,0.27912079215435126,-1.3298340739289776
4,-6.040451235176313,11,0.4,0.003,5,1.1,1.5,5.300000000000001,0,0,0,50,877,-1.7716219462018754,0.01903035440877648,0.1374918428229242,-3.965757253897367
5,0.2623473809587201,26,0.4,0.002,9,1.4000000000000001,2.5,5.0,1,1,0,12,7153,0.09274113771655243,0.14931509604030213,0.27593970919612565,-0.018750771306112912
6,35.00799174241701,16,0.6,0.023,8,1.55,1.9,2.0,1,1,1,27,4987,0.24385871139998003,0.1623046132085081,0.2521661683389055,28.827821946055135
7,777.1450555207368,10,0.25,0.002,8,1.05,2.0,5.6000000000000005,1,0,1,16,11336,0.3713493015926622,0.344436261395771,0.31176601808955356,647.0455840757114
8,-5.751769447592213,29,1.35,0.020000000000000004,9,1.4500000000000002,1.3,5.6000000000000005,1,0,1,27,5982,-0.25247167722603603,0.06731504997631463,0.25347038206277017,-4.745397164902149
9,6.29196489281038,27,1.4000000000000001,0.002,7,1.1500000000000001,1.4,2.0,1,1,0,49,6064,0.22776971785503897,0.10288285594880993,0.24928855112511464,4.94326833092265
10,-10.00212535718746,20,0.9500000000000001,0.03,10,1.3,2.4000000000000004,3.0,0,0,1,11,417,-10.747479590628224,0.018076074083868694,0.07120419583939022,-1.33210282734898
11,-4.051119249613233,15,0.75,0.027000000000000003,5,1.55,2.0,2.8,1,0,1,23,8278,0.023350333387472052,0.1783929311985376,0.31059887195169733,-3.5725471667145308
12,-1.5672611461664012,17,0.75,0.012,9,1.6,2.3,3.1,1,1,1,36,4592,-0.0034717931256192346,0.14841648128436122,0.25974538020686694,-1.460348553263912
13,1062.4669269723172,14,0.6,0.015000000000000001,6,1.0,1.7000000000000002,4.800000000000001,1,0,1,19,10876,0.31137498708229305,0.42272823153462546,0.31419394736042516,884.7904014336394
14,50917.777372260054,12,1.05,0.014,3,0.9500000000000001,1.0,4.7,1,0,1,18,11874,0.4810665069688891,0.39063501476805895,0.301010435554283,42430.78672137704
15,67483.75037870229,13,0.9500000000000001,0.014,3,0.9500000000000001,1.0,4.7,1,0,1,20,11682,0.4804354585003888,0.39111776231717155,0.2990528147216322,56235.76338879322
16,35427.25495435262,20,1.1,0.015000000000000001,3,0.8,1.0,4.7,1,0,1,21,10799,0.4446058540852649,0.3496875332387455,0.285823916977236,29522.071142369543
17,1.4175975668175398,13,1.1500000000000001,0.007,3,0.9500000000000001,1.0,3.5,1,0,1,37,10608,0.20885133734576644,0.17307983355248896,0.3077738658533723,0.8617333340190088
18,-11.05037049537723,19,1.1500000000000001,0.013,4,1.25,1.1,4.300000000000001,0,0,1,15,498,-9.742529039181044,0.016094700343916156,0.07943082262086362,-2.847136027257129
19,35.838867380274394,23,0.9500000000000001,0.018000000000000002,4,0.8,1.1,3.8000000000000003,1,0,1,23,10182,0.24013267772920355,0.16096567613096882,0.29261856105105377,29.52410888508415
20,24112.707174999472,12,1.3000000000000003,0.009000000000000001,3,1.0,3.0,4.4,1,0,1,10,11696,0.47365910569296077,0.4155300847273046,0.30369908096741716,20093.214122891375
21,31906.606789946673,20,1.1,0.016,3,0.8,1.0,4.9,1,0,1,22,10714,0.45124763879141266,0.4092823632122455,0.2859508823208452,26588.14394783956
22,130.71575837409736,18,1.0,0.014,5,0.9,1.2,4.6,1,0,1,21,10603,0.2052072780185507,0.32616269068995746,0.3130251260103513,108.48479152783176
23,3010.5475533125086,15,1.2500000000000002,0.017,3,0.9,1.0,5.2,1,0,1,26,11172,0.34433885646399326,0.37979725846509155,0.3078349402293046,2508.20117654673
24,285.9455619697027,23,0.85,0.022,4,0.8,1.3,3.5,1,0,1,14,10193,0.33685204178923134,0.20670288703680928,0.29120363753518913,237.84273456971394
25,14516.107450836575,22,1.05,0.012,3,0.9500000000000001,1.7000000000000002,4.0,1,0,1,18,9588,0.40342692690663207,0.319338903904414,0.27691231365535535,12096.163329518595
26,-3.181769621505152,12,0.8,0.006,4,0.8500000000000001,1.2,4.7,0,0,1,33,1098,-1.425749057669137,0.039347374696811495,0.1452081636937175,-1.8214136480466694
27,78.28528664200697,15,1.2500000000000002,0.011000000000000001,6,1.0,1.5,5.4,1,0,1,25,10524,0.2008601629571401,0.38465876267327903,0.3162019583539257,64.74673477233836
28,16.86114296512638,25,0.6,0.015000000000000001,5,0.8500000000000001,1.2,6.0,1,0,1,20,9689,0.1619340637610846,0.1618708517672296,0.2884511319439025,13.75729011720142
29,-6.125153113648262,17,0.9,0.020999999999999998,3,0.9500000000000001,1.4,4.5,0,0,1,17,790,-1.896259066028171,0.014668937342769636,0.12483213897502976,-3.9503745664320267
30,-5.5376265349923965,29,1.6,0.025,4,1.2000000000000002,2.7,5.0,1,0,1,13,6530,-0.15548558665155954,0.08941120941049281,0.2651303506852536,-4.646251635992485
31,54907.314153126055,20,1.1,0.016,3,0.8,1.0,5.0,1,0,1,21,10718,0.4734002991327642,0.4026564928717388,0.28347266554827655,45755.388749649974
32,2029.8267768467433,21,1.1500000000000001,0.017,3,0.9,1.0,4.1,1,0,1,19,9947,0.3138813526231659,0.299479073709089,0.2875052470374962,1691.0127457857836
33,521.1201264738287,19,1.4500000000000002,0.019000000000000003,4,0.8,1.1,5.1,1,0,1,24,10750,0.2589581656038862,0.30214710067772815,0.2976209778136176,433.79735844569296
34,2283770.5474779867,13,1.05,0.014,3,0.8500000000000001,1.3,5.6000000000000005,1,0,0,30,13968,0.5929711722974904,0.46532115663188134,0.2996598549667685,1903141.2904520917
35,87.26764946772846,13,1.0,0.01,5,1.1,1.3,5.8,1,0,0,44,11376,0.2909262704435164,0.22416991811409215,0.3142598612448816,72.30545989728004
36,-6.239766846500419,11,0.7000000000000001,0.013,4,0.8500000000000001,1.6,5.5,0,1,0,31,1020,-1.5086360757621935,0.02188815874960784,0.15898865459201028,-4.295814606732457
37,93118.60922556998,10,0.9,0.007,3,0.9,1.2,5.8,1,0,0,40,13501,0.4802731024078562,0.420283845797406,0.2984281162356653,77598.12159402893
38,-3.9297622647506945,10,0.85,0.005,4,1.05,1.4,5.8,1,1,0,43,7971,0.08357414929446934,0.12203506210404834,0.29613752774557467,-3.4646900602303585
39,614702.3384448796,14,1.2500000000000002,0.008,6,0.9,1.8,5.300000000000001,1,0,0,38,13227,0.552506548356993,0.45140690846925285,0.29841470097635986,512251.1549168629
40,-6.671480805879326,14,0.5,0.008,6,1.1,1.8,5.300000000000001,0,1,0,40,769,-2.3023270741190562,0.016932289794922725,0.1345570228160583,-4.141790319856217
41,163102.31391821778,11,1.2500000000000002,0.006,7,0.8500000000000001,2.2,5.7,1,0,0,36,13831,0.48817187329059486,0.4284438606908631,0.3067616786302366,135917.86835420626
42,521007.49388416804,11,1.2500000000000002,0.004,7,0.8500000000000001,2.2,5.7,1,0,0,34,13956,0.5360836590112772,0.44791565064368083,0.30350661237762533,434172.13392672007
43,436699.8605162336,11,1.5000000000000002,0.005,7,0.8500000000000001,2.1,5.7,1,0,0,34,13951,0.530831387378167,0.44532402342792005,0.3044319962775729,363915.77900598664
44,667967.4998514088,11,1.5000000000000002,0.004,7,0.8500000000000001,2.2,5.6000000000000005,1,0,0,34,13973,0.5401986550966654,0.45097156180031767,0.3037957934723362,556638.800465711
45,5021208.300096165,11,1.5000000000000002,0.004,8,0.8500000000000001,2.1,6.0,1,0,0,29,14091,0.5912439942821168,0.47118911217911086,0.2978294828752879,4184339.412106888
46,1520185.2952431869,14,1.4000000000000001,0.004,8,1.35,2.5,6.0,1,0,0,29,13119,0.5517510926655366,0.43871800389790255,0.29969417142701066,1266820.296121698
47,-4.957764002698261,16,1.4000000000000001,0.003,8,1.4000000000000001,2.5,6.0,1,1,0,29,6969,0.055435650237588,0.15171926184640402,0.2960023162159679,-4.323451361773086
48,1286757.9223889874,14,1.5500000000000003,0.003,8,1.35,2.6,5.5,1,0,0,29,13174,0.5565601098049402,0.4534008862974286,0.3012243947811636,1072297.4708543064
49,120263.57754450897,16,1.6,0.003,8,1.35,2.7,5.5,1,0,0,29,12635,0.4750207288295588,0.43079747217860304,0.2973375569016274,100218.92274486076
50,69769.99979170504,13,1.5000000000000002,0.002,9,1.4500000000000002,2.7,6.0,1,0,0,31,13133,0.43563500061397836,0.4047648100795779,0.3034366150981296,58140.992042560116
51,1358489.7593840056,14,1.35,0.004,8,1.3,2.4000000000000004,5.300000000000001,1,0,0,28,13269,0.5694637511914454,0.4327404068961006,0.30161523935903245,1132074.010701949
52,897432.4229928582,12,1.4000000000000001,0.004,8,1.3,2.4000000000000004,5.5,1,0,0,28,13692,0.5404581394678882,0.44338744112514733,0.3034319939788139,747859.5748389417
53,4086530.6471724436,14,1.35,0.004,10,1.3,2.5,5.4,1,0,0,28,13225,0.5782887504343378,0.46345827602148454,0.3007388605296108,3405441.3849278227
54,23738346.379987244,14,1.35,0.005,10,1.3,2.6,2.5,1,0,0,27,13814,0.6933209743542985,0.4912971560116462,0.3024822050781927,19781954.396083422
55,6809381.307431887,15,1.35,0.006,10,1.25,2.4000000000000004,2.2,1,0,0,27,13737,0.6610500751032737,0.48829822422663627,0.3037242858240495,5674483.526243104
56,3014708.1982849063,15,1.35,0.006,10,1.2000000000000002,2.8,2.3,1,0,0,26,13785,0.6264648026942112,0.5020862857615758,0.30700237265794256,2512255.9488802315
57,-6.251110064041642,17,1.35,0.006,10,1.2000000000000002,2.9000000000000004,2.5,0,0,0,26,658,-2.097112941058916,0.008857477312371322,0.11348740141700196,-3.9370640173500333
58,-2.202834746251128,15,0.1,0.009000000000000001,10,1.25,2.8,1.7,1,1,0,31,9010,0.2456940969019489,0.167888254528812,0.31306484126983286,-2.171806096876866
59,217592.35529862405,16,1.3000000000000003,0.007,10,1.25,2.6,2.3,1,0,0,25,13417,0.5447401667983754,0.43886337693287075,0.3136564222845137,181326.19136370035
60,588020.7121813325,18,1.2000000000000002,0.01,9,1.1500000000000001,2.3,2.2,1,0,0,33,12619,0.5653567563024567,0.4736350066916621,0.31111571935969995,490016.44457106444
61,25872829.256925337,13,1.4500000000000002,0.005,10,1.35,2.5,1.5,1,0,0,27,14672,0.7230518595985546,0.4704065474182403,0.30349700600211305,21560690.120079532
62,7808441.467879901,13,1.4500000000000002,0.008,10,1.4000000000000001,2.6,1.6,1,0,0,27,14496,0.666538827474179,0.46486987003559804,0.3049435039879233,6507033.673475691
63,6303910.2014765795,12,1.4500000000000002,0.005,10,1.4500000000000002,2.6,1.5,1,0,0,27,14849,0.6560385606373058,0.4608601533546841,0.3058995668167602,5253257.628240446
64,5228922.764062186,12,1.4500000000000002,0.005,9,1.4500000000000002,2.6,1.5,1,0,0,23,14992,0.6517712806410935,0.4638929325106276,0.30779517247624955,4357434.765124206
65,2646245.503632737,12,1.5500000000000003,0.005,9,1.5,2.6,1.5,1,0,0,24,14955,0.6201315104857389,0.4591575485587741,0.30912952367342583,2205203.740762737
66,6796349.0174053395,13,1.4500000000000002,0.008,9,1.4500000000000002,2.3,1.8,1,0,0,23,14498,0.666442492686637,0.47953926599743296,0.30124518021550317,5663623.285803939
67,20895574.196945596,13,1.4500000000000002,0.009000000000000001,9,1.4500000000000002,2.4000000000000004,1.9,1,0,0,23,14413,0.6843366158202075,0.5115020631021354,0.3013045729162877,17412977.56393148
68,-3.5361570754401574,13,1.4500000000000002,0.008,10,1.5,2.3,1.8,0,0,0,27,516,-0.3678114178326445,0.014489601263398098,0.09189800871379407,-2.861897830181601
69,10879315.736521268,12,1.6,0.011000000000000001,9,1.4000000000000001,2.4000000000000004,1.9,1,0,0,22,14669,0.6477224054871007,0.5265867722033046,0.30689589111317855,9066095.528457597
70,4827481.064877067,15,1.6,0.011000000000000001,9,1.4000000000000001,2.4000000000000004,1.9,1,0,0,22,13862,0.648762766210582,0.5074518878778367,0.3025741886431243,4022899.9813441006
71,14956851.731229052,12,1.5500000000000003,0.01,10,1.4000000000000001,2.5,2.1,1,0,0,24,14522,0.6437502013640408,0.5119874025122095,0.3054399321346719,12464042.20536833
72,30525236.014618948,13,1.5500000000000003,0.009000000000000001,10,1.4000000000000001,2.3,2.1,1,0,0,24,14304,0.6852745851283168,0.524678975225601,0.2983629647150321,25437695.73269137
73,12155915.646048848,13,1.5500000000000003,0.009000000000000001,10,1.4000000000000001,2.5,2.7,1,0,0,25,13974,0.6426505560025766,0.49741729949590785,0.3009145725614916,10129928.81212483
74,1707346.9824343624,10,1.5500000000000003,0.011000000000000001,10,1.4000000000000001,2.5,2.8,1,0,0,25,14475,0.5764646682125313,0.4733343848722203,0.30932176689315377,1422788.3283644137
75,25280256.15605631,12,1.6,0.009000000000000001,10,1.5,2.5,2.6,1,0,0,20,14324,0.6694437281567903,0.5138039456004302,0.3029025718832604,21066879.206270214
76,44726087.0104584,12,1.6,0.01,10,1.5,2.5,2.7,1,0,0,20,14282,0.6853015845206987,0.5079674582610519,0.30132589801792364,37271738.24501838
77,12929420.124608526,10,1.5500000000000003,0.009000000000000001,10,1.55,2.5,2.6,1,0,0,16,14653,0.6498760588715098,0.5105160270291157,0.3044754379434011,10774515.863684973
78,-4.432838164884693,10,1.5500000000000003,0.01,10,1.6,2.7,3.2,1,1,0,16,7150,0.16972871783220858,0.14740497505064204,0.3107110085328452,-3.9501463820333194
79,13569028.9892946,11,1.6,0.012,10,1.55,2.5,2.5,1,0,0,19,14523,0.6519741121556623,0.5176186999742833,0.3049055390919541,11307523.244236665
